symbol,name,mint,decimals,category
PENGU,Pudgy Penguins,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,6,crypto
BOME,BOOK OF MEME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,6,crypto
WEN,Wen,WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk,5,crypto
SLERF,SLERF,9999FVbjHioTcoJpoBiSjpxHW6xEn3witVuXKqBh2RFQ,9,crypto
CHILLGUY,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,6,crypto
LUCE,Official Mascot of the Holy Year,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,6,crypto
SAMO,Samoyed Coin,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,9,crypto
Franklin,Franklin The Turtle,CSrwNk6B1DwWCHRMsaoDVUfD5bBMQCJPY72ZG3Nnpump,6,crypto
gork,New XAI gork,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,6,crypto
swarms,swarms,74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,6,crypto
ai16z,ai16z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,9,crypto
GOAT,Goated,EELU55zVCwTzm75UdgeAXJsBKDavjSGe6KdLRLnZpump,6,crypto
GRIFFAIN,Griffain,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,6,crypto
ZEREBRO,zerebro,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,6,crypto
VIRTUAL,Virtual Protocol,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y,9,crypto
arc,AI Rig Complex,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,6,crypto
CLOUD,Cloud,CLoUDKc4Ane7HeQcPpE3YHnznRxhMimJ4MyaUqyHFzAu,9,crypto
HONEY,HONEY,4vMsoUT2BWatFweudnQM1xedRLfJgJ7hswhcpz4xgBTy,9,crypto
BLZE,Blaze,BLZEEuZUBVqFhj8adcCFPJvPVCiCyVmh3hkJMrU8KuJA,9,crypto
FIDA,Bonfida,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,6,crypto
ME,Magic Eden,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,6,crypto
PRCL,Parcl,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,6,crypto
NEON,Neon EVM,NeonTjSjsuo3rexg9o6vHuMXw62f9V7zvmu8M8Zut44,9,crypto
$HACHI,Hachiko,x95HN3DWvbfCBtTjGm587z8suK3ec6cwQwgZNLbWKyp,4,crypto
1,1 coin can change your life,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,6,crypto
BIGTROUT,The Big Trout,EKwF2HD6X4rHHr4322EJeK9QBGkqhpHZQSanSUmWkecG,6,crypto
BP,Barking Puppy,3B1ijcocM5EDga6XxQ7JLW7weocQPWWjuhBYG8Vepump,6,crypto
BUTTCOIN,BUTTCOIN,77KhqraBouiU91KRchLPY8DYbVtfsH4nSBgHCd4UAwBY,6,crypto
COPPERINU,copper inu,61Wj56QgGyyB966T7YsMzEAKRLcMvJpDbPzjkrCZc4Bi,6,crypto
FAFO,FAFO,BP8RUdhLKBL2vgVXc3n7oTSZKWaQVbD8S6QcPaMVBAPo,6,crypto
FISH,rainbowfish,CmgJ1PobhUqB7MEa8qDkiG2TUpMTskWj8d9JeZWSpump,6,crypto
GOYIM,Goyim,9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,6,crypto
GST,GST,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,9,crypto
JELLYBEAN,Jellybean,412zDygnwP9DzitnQVgRKUFFTDmrYScFch6P2k39pump,6,crypto
KILROY,Kilroy was here,CFYhdWXsYfS7swnJgHRwb5toTHMEQD7Ljd5gGwKLpump,6,crypto
LOBSTAR,Lobstar,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,6,crypto
MACMINI,Mac mini,2QKrBtNECja4cJygxA7igwqxahs93GNmuQ2We2stpump,6,crypto
MAXXING,maxxing,32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,6,crypto
NEET,NEET,DtzWSnQaQMHKJwW5tJgtMsGSVivLeWNzXZXWctERpump,6,crypto
NX8,The Future Of Finance Index,NX8DuAWprqWAYDvpkkuhKnPfGRXQQhgiw85pCkgvFYk,9,crypto
OIL,OLIO,91D9BXEGYsqjPGWNmzhSesvnz76L8nz4pSTY4FY6surg,6,crypto
PEACEGUY,Just a peace guy,85vdovHhkXnDi98EYMQmD2vXS82jRP1VDDXfkJ38pump,6,crypto
PENGUIN,Nietzschean Penguin,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,6,crypto
PIGEON,level941,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,6,crypto
PIPPIN,Pippin,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,6,crypto
PIPPKIN,Pippkin The Horse,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,6,crypto
PSYOPANIME,PsyopAnime,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,6,crypto
PUNCH,パンチ,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,6,crypto
PYTHIA,PYTHIA,CreiuhfwdWCN5mJbMJtA9bBpYQrQF2tCBuZwSPWfpump,6,crypto
SURGE,SURGE,3z2tRjNuQjoq6UDcw4zyEPD1Eb5KXMPYb4GWFzVT1DPg,8,crypto
TESTICLE,testicle,4TyZGqRLG3VcHTGMcLBoPUmqYitMVojXinAmkL8xpump,6,crypto
TROLL,TROLL,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,6,crypto
USELESS,USELESS COIN,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,6,crypto
WAR,WAR,8opvqaWysX1oYbXuTL8PHaoaTiXD69VFYAX4smPebonk,6,crypto
WHITEWHALE,The White Whale,a3W4qutoEJA4232T2gwZUfgYJTetr96pU4SJMwppump,6,crypto
WW3,World War 3,7m2TUkpPZCScBhPJnGjWjbh75KkDNnwAdd7i74m8awad,6,crypto
AAPLx,Apple,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,8,stock
ABTx,Abbott,XsHtf5RpxsQ7jeJ9ivNewouZKJHbPxhPoEy6yYvULr7,8,stock
AMBRx,Amber,XsaQTCgebC2KPbf27KUhdv5JFvHhQ4GDAPURwrEhAzb,8,stock
AMZNx,Amazon,Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg,8,stock
AZNx,AstraZeneca,Xs3ZFkPYT2BN7qBMqf1j1bfTeTm1rFzEFSsQ1z3wAKU,8,stock
BRK.Bx,Berkshire Hathaway,Xs6B6zawENwAbWVi7w92rjazLuAr5Az59qgWKcNb45x,8,stock
CMCSAx,Comcast,XsvKCaNsxg2GN8jjUmq71qukMJr7Q1c5R2Mk9P8kcS8,8,stock
COINx,Coinbase,Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu,8,stock
CRCLx,Circle,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,8,stock
CSCOx,Cisco,Xsr3pdLQyXvDJBFgpR5nexCEZwXvigb8wbPYp4YoNFf,8,stock
CVXx,Chevron,XsNNMt7WTNA2sV3jrb1NNfNgapxRF5i4i6GcnTRRHts,8,stock
DFDVx,DFDV,Xs2yquAgsHByNzx68WJC55WHjHBvG9JsMB7CWjTLyPy,8,stock
DHRx,Danaher,Xseo8tgCZfkHxWS9xbFYeKFyMSbWEvZGFV1Gh53GtCV,8,stock
GLDx,Gold ETF,Xsv9hRk1z5ystj9MhnA7Lq4vjSsLwzL2nxrwmwtD3re,8,stock
GOOGLx,Google,XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN,8,stock
HONx,Honeywell,XsRbLZthfABAPAfumWNEJhPyiKDW6TvDVeAeW7oKqA2,8,stock
HOODx,Robinhood,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,8,stock
LINx,Linde,XsSr8anD1hkvNMu8XQiVcmiaTP7XGvYu7Q58LdmtE8Z,8,stock
LLYx,Eli Lilly,Xsnuv4omNoHozR6EEW5mXkw8Nrny5rB3jVfLqi6gKMH,8,stock
MCDx,McDonald's,XsqE9cRRpzxcGKDXj1BJ7Xmg4GRhZoyY1KpmGSxAWT2,8,stock
MDTx,Medtronic,XsDgw22qRLTv5Uwuzn6T63cW69exG41T6gwQhEK22u2,8,stock
METAx,Meta Platforms,Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu,8,stock
MRKx,Merck,XsnQnU7AdbRZYe2akqqpibDdXjkieGFfSkbkjX1Sd1X,8,stock
